"seq.name"	"rat.id"	"barcode"	"read.length"	"mean.read.accur"	"median.read.accur"	"sequence.run"	"subject.id"	"percent.ident"	"align.length"	"mismatches"	"gap.opens"	"query.start"	"query.end"	"subject.start"	"subject.end"	"bit.score"	"subject.descr"	"species"	"blast.genus"	"readl.alignl.ratio"	"megan.kingdom"	"megan.phylum"	"megan.class"	"megan.order"	"megan.family"	"megan.genus"
"b8b65f9e-a561-4da9-b603-998fc73e9f5f runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=814 ch=426 start_time=2017-01-26T00:56:50Z barcode=barcode07"	"PW3"	"JNB07"	713	0.918472814963804	0.968377223398316	"January"	"gi|1269958023|ref|XM_022873360.1|"	90.6	117	11	2	80	194	369	253	154.392	"PREDICTED: Durio zibethinus GTPase LSG1-2-like (LOC111284605): mRNA"	"Durio zibethinus"	"Durio"	0.164095371669004	"2759"	"35493"	NA	"41938"	NA	NA
"4a8d1494-0855-4408-9d73-1c1d156f0ee8 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1788 ch=442 start_time=2017-01-26T14:45:37Z barcode=barcode07"	"PW3"	"JNB07"	613	0.885828624226041	0.936904265551981	"January"	"gi|657302675|ref|NC_024261.1|"	89.68	349	36	19	67	402	18760	19102	427.696	"Hyoscyamus niger chloroplast: complete genome"	"Hyoscyamus niger"	"Hyoscyamus"	0.569331158238173	"2759"	"35493"	NA	"4069"	"4070"	NA
"3be25665-2521-4a1f-b48c-42b7f2194e1a runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1146 ch=448 start_time=2017-01-26T01:29:25Z barcode=barcode07"	"PW3"	"JNB07"	433	0.908892344476297	0.949881276637273	"January"	"gi|564112147|ref|NW_006238960.1|"	87.95	332	40	23	64	389	1321661	1321975	370.45	"Solanum tuberosum cultivar DM 1-3 516 R44 unplaced genomic scaffold: SolTub_3.0 scf00036: whole genome shotgun sequence &gt;gi|347326428|gb|JH137824.1| Solanum tuberosum unplaced genomic scaffold scf00036: whole genome shotgun sequence"	"Solanum tuberosum"	"Solanum"	0.766743648960739	"2759"	"35493"	NA	"4069"	"4070"	"4107"
"1a9daaa5-1595-4cba-a53d-cd1f4606e207 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4374 ch=485 start_time=2017-01-26T07:53:22Z barcode=barcode07"	"PW3"	"JNB07"	460	0.920343818092666	0.96018928294465	"January"	"gi|1197977280|ref|NC_034692.1|"	92.44	397	30	16	68	458	113632	114018	553.269	"Piper nigrum plastid: complete genome"	"Piper nigrum"	"Piper"	0.86304347826087	"2759"	"35493"	NA	"16736"	"16739"	"13215"
"66a920d6-09f3-4cfa-b0be-6927895010ce runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=539 ch=493 start_time=2017-01-26T01:21:38Z barcode=barcode07"	"PW3"	"JNB07"	2529	0.924561060667631	0.96018928294465	"January"	"gi|769143003|gb|CM003182.1|"	88.68	486	55	32	108	573	150481124	150480651	564.348	"Capsicum annuum var. glabriusculum chromosome 4: whole genome shotgun sequence"	"Capsicum annuum"	"Capsicum"	0.192170818505338	"2759"	"35493"	NA	"4069"	"4070"	NA
"a75eb49d-49c9-4647-a5c4-c51450938ee9 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3346 ch=497 start_time=2017-01-26T06:31:39Z barcode=barcode07"	"PW3"	"JNB07"	818	0.859828728772373	0.920567176527572	"January"	"gi|937408008|ref|NC_027941.1|"	80.98	736	140	77	70	756	48156	48863	512.642	"Piper kadsura chloroplast: complete genome"	"Piper kadsura"	"Piper"	0.899755501222494	"2759"	"35493"	NA	"16736"	"16739"	NA
"c6fca1a1-bf59-4d4e-8853-6ca40b41c10e runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=8722 ch=498 start_time=2017-01-26T09:58:48Z barcode=barcode07"	"PW3"	"JNB07"	594	0.826708548006945	0.874107458820583	"January"	"gi|374411485|gb|HQ183603.1|"	82.58	465	81	45	75	515	5824	6267	368.604	"Molineria capitulata hypothetical chloroplast RF2 (ycf2) gene: complete cds; plastid"	"Molineria capitulata"	"Molineria"	0.782828282828283	"2759"	"35493"	NA	NA	NA	NA
"6ed3a84f-85e1-4db2-b6bb-364efcde4d1f runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=795 ch=502 start_time=2017-01-26T17:22:29Z barcode=barcode07"	"PW3"	"JNB07"	654	0.884455699400771	0.949881276637273	"January"	"gi|813559640|ref|NC_026882.1|"	88.45	381	44	28	82	439	39475	39100	435.083	"Solanum pimpinellifolium isolate TS-415 chloroplast: complete genome"	"Solanum pimpinellifolium"	"Solanum"	0.582568807339449	"2759"	"35493"	NA	"4069"	"4070"	NA
"418ba542-62db-45e3-98b0-e2317fee9d5c runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1063 ch=5 start_time=2017-01-26T01:50:58Z barcode=barcode07"	"PW3"	"JNB07"	473	0.882374313330597	0.936904265551981	"January"	"gi|744793077|gb|KN715516.1|"	78.32	369	80	44	74	410	4649009	4649365	198.712	"Arachis ipaensis cultivar K30076 chromosome B02 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.780126849894292	"2759"	"35493"	NA	"72025"	"3803"	NA
"4bedfdd4-7382-4d88-b2e1-b79d8d1a6897 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1747 ch=85 start_time=2017-01-26T11:36:40Z barcode=barcode07"	"PW3"	"JNB07"	457	0.846581973580054	0.874107458820583	"January"	"gi|1031916976|ref|NC_030207.1|"	82.85	379	65	45	75	422	24448	24812	298.431	"Solanum melongena plastid: complete genome"	"Solanum melongena"	"Solanum"	0.829321663019694	"2759"	"35493"	NA	"4069"	"4070"	NA
"4506135f-6954-4316-98c4-b7f4b0f6f1b1 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4463 ch=102 start_time=2017-01-26T06:10:31Z barcode=barcode08"	"PW5"	"JNB08"	492	0.919175645743993	0.949881276637273	"January"	"gi|1158605395|ref|XR_002251420.1|"	91.44	432	37	18	67	486	1722	2147	577.275	"Loa loa 28S ribosomal RNA rRNA"	"Loa loa"	"Loa"	0.878048780487805	"2759"	"6231"	"119089"	NA	NA	NA
"949dad55-3fd9-47ea-b1f7-41e7f9be84af runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=800 ch=103 start_time=2017-01-26T01:16:20Z barcode=barcode08"	"PW5"	"JNB08"	581	0.888865571239346	0.949881276637273	"January"	"gi|748404584|gb|KN725880.1|"	85.61	403	58	28	84	469	980336	979945	398.15	"Arachis duranensis cultivar V14167 chromosome A03 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.693631669535284	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"e7a66753-bc9d-4a6e-bfe4-5a68beaa906b runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3733 ch=106 start_time=2017-01-26T15:24:42Z barcode=barcode08"	"PW5"	"JNB08"	1459	0.920414342574028	0.96018928294465	"January"	"gi|1051343728|ref|NC_030727.1|"	81.82	176	32	6	470	645	119146244	119146413	143.312	"Xenopus laevis strain J chromosome 2S: Xenopus_laevis_v2: whole genome shotgun sequence"	"Xenopus laevis"	"Xenopus"	0.120630568882796	"2759"	"7711"	NA	NA	NA	NA
"bdfe47cb-76dd-4129-a207-a42d69da7f76 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1746 ch=109 start_time=2017-01-26T11:16:09Z barcode=barcode08"	"PW5"	"JNB08"	907	0.87598890407516	0.920567176527572	"January"	"gi|744793117|gb|KN715476.1|"	80.35	458	90	54	71	500	373621	374052	298.431	"Arachis ipaensis cultivar K30076 chromosome B01 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.504961411245865	"2759"	"35493"	NA	"72025"	"3803"	NA
"d276546b-b2e9-4063-bcdc-9cec25809469 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=121 ch=124 start_time=2017-01-26T00:03:05Z barcode=barcode08"	"PW5"	"JNB08"	1054	0.938305179188781	0.974881135684904	"January"	"gi|1016574093|gb|KT894808.1|"	84.23	666	105	25	241	889	660	3	625.288	"Physaloptera turgida cytochrome c oxidase subunit I gene: partial cds; mitochondrial"	"Physaloptera turgida"	"Physaloptera"	0.631878557874763	"2759"	"6231"	"119089"	"6274"	"75557"	NA
"48be09eb-2f34-450b-b074-2ff4f9e3db6e runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1072 ch=126 start_time=2017-01-26T10:00:32Z barcode=barcode08"	"PW5"	"JNB08"	343	0.910553389738379	0.96018928294465	"January"	"gi|1052487892|ref|NC_030753.1|"	89.77	215	22	8	72	281	423256	423467	268.884	"Nelumbo nucifera mitochondrion: complete genome"	"Nelumbo nucifera"	"Nelumbo"	0.626822157434402	"2759"	"35493"	NA	NA	NA	NA
"1955c29a-3d45-448e-8a9f-aa09f1aa0ecc runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1869 ch=12 start_time=2017-01-26T03:11:04Z barcode=barcode08"	"PW5"	"JNB08"	521	0.849114410369008	0.9	"January"	"gi|372450249|ref|NC_016742.1|"	81.15	419	79	49	67	447	293965	293558	291.044	"Millettia pinnata mitochondrion: complete genome"	"Millettia pinnata"	"Millettia"	0.804222648752399	"2759"	"35493"	NA	NA	NA	NA
"012e6bd3-9ac7-4cc4-aa63-6132b29329a6 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1793 ch=134 start_time=2017-01-26T01:51:54Z barcode=barcode08"	"PW5"	"JNB08"	618	0.855084885165522	0.9	"January"	"gi|1189127733|ref|NC_029775.2|"	92.93	283	20	10	69	348	40067585	40067310	403.69	"Arachis duranensis cultivar V14167 chromosome A04: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.457928802588997	"2759"	"35493"	NA	NA	NA	NA
"6493ee40-4f3e-4bcf-a3de-24504dbf1824 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1077 ch=149 start_time=2017-01-26T01:12:38Z barcode=barcode08"	"PW5"	"JNB08"	437	0.861114515347861	0.9	"January"	"gi|1189127731|ref|NC_029777.2|"	86.64	217	29	20	74	274	77771230	77771018	222.718	"Arachis duranensis cultivar V14167 chromosome A06: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.496567505720824	"2759"	"35493"	NA	"72025"	"3803"	NA
"7fd83e8c-3485-440d-976f-5a597d53ed72 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1160 ch=160 start_time=2017-01-26T17:19:07Z barcode=barcode08"	"PW5"	"JNB08"	548	0.909380573458302	0.949881276637273	"January"	"gi|744792904|gb|KN715689.1|"	87.35	498	63	41	72	540	7847425	7847910	532.955	"Arachis ipaensis cultivar K30076 chromosome B06 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.908759124087591	"2759"	"35493"	NA	NA	NA	NA
"3a7fc38c-78c8-4213-bdee-377ec0b8e6c1 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=61 ch=164 start_time=2017-01-26T00:04:51Z barcode=barcode08"	"PW5"	"JNB08"	410	0.887822010867097	0.96018928294465	"January"	"gi|1189127736|ref|NC_029772.2|"	95.57	158	7	5	41	195	98341622	98341777	248.571	"Arachis duranensis cultivar V14167 chromosome A01: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.385365853658537	"2759"	"35493"	NA	"72025"	"3803"	NA
"a5c6ee8e-1f43-49f8-83d7-f20a1e59a8bf runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3799 ch=182 start_time=2017-01-26T05:29:35Z barcode=barcode08"	"PW5"	"JNB08"	778	0.85718459656811	0.9	"January"	"gi|1189127736|ref|NC_029772.2|"	92.83	293	21	16	70	354	98342078	98341794	411.077	"Arachis duranensis cultivar V14167 chromosome A01: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.376606683804627	"2759"	"35493"	NA	NA	NA	NA
"bbe57d3a-2d69-4e95-9bb7-114198f29728 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=97 ch=182 start_time=2017-01-26T00:02:39Z barcode=barcode08"	"PW5"	"JNB08"	475	0.899867429071636	0.949881276637273	"January"	"gi|1102549328|ref|NC_031892.1|"	91.08	213	19	15	71	271	102592	102383	274.424	"Alniphyllum eberhardtii plastid: complete genome"	"Alniphyllum eberhardtii"	"Alniphyllum"	0.448421052631579	"2759"	"35493"	NA	NA	NA	NA
"c50da56a-0a9a-4a0d-8650-af80dbe2ab7b runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1033 ch=203 start_time=2017-01-26T01:20:25Z barcode=barcode08"	"PW5"	"JNB08"	697	0.859367253318999	0.9	"January"	"gi|1189127736|ref|NC_029772.2|"	88.62	413	47	33	78	473	26966029	26966425	472.016	"Arachis duranensis cultivar V14167 chromosome A01: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.592539454806313	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"0392dda9-7c9a-40af-95c7-80ff0af996fa runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=6659 ch=218 start_time=2017-01-26T15:01:40Z barcode=barcode08"	"PW5"	"JNB08"	361	0.935029973464425	0.968377223398316	"January"	"gi|769829279|ref|NC_026687.1|"	78.12	224	49	13	85	302	2899	3115	130.386	"Gongylonema pulchrum mitochondrion: complete genome"	"Gongylonema pulchrum"	"Gongylonema"	0.620498614958449	"2759"	"6231"	"119089"	"6274"	NA	NA
"c10fd469-55ca-4377-81f0-7c293d8f516c runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1105 ch=220 start_time=2017-01-26T09:52:32Z barcode=barcode08"	"PW5"	"JNB08"	412	0.934340803100566	0.968377223398316	"January"	"gi|1021079697|ref|NC_029975.1|"	83.44	163	27	4	194	354	12839	12999	148.852	"Dirofilaria repens mitochondrion: complete genome"	"Dirofilaria repens"	"Dirofilaria"	0.395631067961165	"2759"	"6231"	"119089"	"6274"	"6296"	NA
"1f92c6d0-1efe-4a57-83ed-a757b93d5825 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2575 ch=223 start_time=2017-01-26T02:44:30Z barcode=barcode08"	"PW5"	"JNB08"	928	0.921221377981814	0.96018928294465	"January"	"gi|1189127730|ref|NC_029778.2|"	92.83	837	60	49	66	871	15008834	15009652	1168.2	"Arachis duranensis cultivar V14167 chromosome A07: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.901939655172414	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"02d8e9fa-9613-4c06-952a-14d7b859abbc runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=5410 ch=229 start_time=2017-01-26T20:37:23Z barcode=barcode08"	"PW5"	"JNB08"	773	0.894287126129265	0.949881276637273	"January"	"gi|400201799|ref|NC_018363.1|"	77.61	451	101	20	70	507	2356	2799	255.958	"Thelazia callipaeda mitochondrion: complete genome"	"Thelazia callipaeda"	"Thelazia"	0.583441138421734	"2759"	"6231"	"119089"	"6274"	"103828"	NA
"11ed3a2e-5abe-4628-bb93-73c681cf1683 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4886 ch=244 start_time=2017-01-26T10:10:24Z barcode=barcode08"	"PW5"	"JNB08"	725	0.915429083895987	0.949881276637273	"January"	"gi|744792897|gb|KN715696.1|"	94.21	587	34	18	72	653	31713	32286	880.126	"Arachis ipaensis cultivar K30076 chromosome B06 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.809655172413793	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"2ef6d5f4-d9d9-4be2-b817-539bbe80962d runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=297 ch=255 start_time=2017-01-26T00:33:19Z barcode=barcode08"	"PW5"	"JNB08"	415	0.919511255864697	0.949881276637273	"January"	"gi|1315690522|dbj|LC331000.1|"	91.01	345	31	13	76	410	4206	4547	453.549	"Gongylonema neoplasticum Alex82 genes for 18S rRNA: ITS1: 5.8S rRNA: ITS2: 28S rRNA: partial and complete sequence"	"Gongylonema neoplasticum"	"Gongylonema"	0.831325301204819	"2759"	"6231"	"119089"	NA	NA	NA
"2f0f84e0-7993-4cc7-bf40-d32654388b2b runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4014 ch=281 start_time=2017-01-26T08:53:49Z barcode=barcode08"	"PW5"	"JNB08"	375	0.936698116945959	0.968377223398316	"January"	"gi|666689246|gb|KJ605489.1|"	77.99	259	57	15	70	320	609	860	148.852	"Spirocerca sp. MNSAS-2014 isolate n. 6 cytochrome oxidase subunit 1 (cox1) gene: partial cds; mitochondrial"	"Spirocerca sp"	"Spirocerca"	0.690666666666667	"2759"	"6231"	"119089"	"6274"	"103828"	NA
"e6d30657-83fa-4dbb-8544-a431e36bff8d runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1752 ch=286 start_time=2017-01-26T02:23:41Z barcode=barcode08"	"PW5"	"JNB08"	492	0.844738738726566	0.9	"January"	"gi|1189127221|ref|NC_029787.2|"	87.54	289	36	26	80	361	70659460	70659729	311.357	"Arachis ipaensis cultivar K30076 chromosome B03: Araip1.1: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.58739837398374	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"730d05d2-8d34-412e-9879-177899bc25c8 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=660 ch=303 start_time=2017-01-26T01:09:40Z barcode=barcode08"	"PW5"	"JNB08"	689	0.944475033940546	0.974881135684904	"January"	"gi|357018130|ref|NC_016199.1|"	78.13	375	82	23	183	542	8574	8940	217.178	"Loa loa mitochondrion: complete genome"	"Loa loa"	"Loa"	0.544267053701016	"2759"	"6231"	"119089"	"6274"	"6296"	NA
"1156386b-e4b3-48ae-9b19-08f0617fe192 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2833 ch=30 start_time=2017-01-26T03:49:08Z barcode=barcode08"	"PW5"	"JNB08"	534	0.876212053206448	0.936904265551981	"January"	"gi|1189127216|ref|NC_029792.2|"	87.93	489	59	43	70	529	8549172	8549646	536.649	"Arachis ipaensis cultivar K30076 chromosome B08: Araip1.1: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.915730337078652	"2759"	"35493"	NA	"72025"	"3803"	NA
"4943f9c5-38dd-4879-b8b1-926f89bd8d7d runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1360 ch=325 start_time=2017-01-26T11:34:12Z barcode=barcode08"	"PW5"	"JNB08"	484	0.868274459145479	0.9	"January"	"gi|1189127728|ref|NC_029780.2|"	93.33	210	14	12	72	273	27813292	27813087	300.278	"Arachis duranensis cultivar V14167 chromosome A09: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.433884297520661	"2759"	"35493"	NA	"72025"	"3803"	NA
"f300c0a2-98a6-4df5-b78c-6fec45b3dfdf runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1415 ch=341 start_time=2017-01-26T03:32:44Z barcode=barcode08"	"PW5"	"JNB08"	425	0.9382337671606	0.974881135684904	"January"	"gi|306960077|ref|NC_014486.1|"	82.99	194	33	13	103	286	11301	11491	163.625	"Chandlerella quiscali mitochondrion: complete genome"	"Chandlerella quiscali"	"Chandlerella"	0.456470588235294	"2759"	"6231"	"119089"	"6274"	NA	NA
"81523354-1445-45be-b582-7c7c0365b579 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3917 ch=35 start_time=2017-01-26T06:54:46Z barcode=barcode08"	"PW5"	"JNB08"	769	0.934977250798393	0.968377223398316	"January"	"gi|1021079697|ref|NC_029975.1|"	74.75	689	174	45	75	740	12468	13134	267.038	"Dirofilaria repens mitochondrion: complete genome"	"Dirofilaria repens"	"Dirofilaria"	0.895968790637191	"2759"	"6231"	"119089"	"6274"	NA	NA
"0c85b899-5be8-4756-b9d1-f2d660bb189c runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=5393 ch=372 start_time=2017-01-26T03:32:50Z barcode=barcode08"	"PW5"	"JNB08"	618	0.863574961555836	0.9	"January"	"gi|1189127731|ref|NC_029777.2|"	91.84	282	23	14	75	350	77858964	77859237	381.53	"Arachis duranensis cultivar V14167 chromosome A06: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.456310679611651	"2759"	"35493"	NA	"72025"	"3803"	NA
"f9cb5f26-2a6c-4209-b3a1-03ecb8cb0fc0 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=5254 ch=380 start_time=2017-01-26T21:53:45Z barcode=barcode08"	"PW5"	"JNB08"	506	0.895352524042743	0.936904265551981	"January"	"gi|748404903|gb|KN725561.1|"	89.66	377	39	28	80	449	693527	693172	455.396	"Arachis duranensis cultivar V14167 chromosome A02 genomic scaffold: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.745059288537549	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"bf62f00b-ce44-43a3-a7cb-edd321ba0bca runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1167 ch=384 start_time=2017-01-26T02:18:53Z barcode=barcode08"	"PW5"	"JNB08"	645	0.918496447738056	0.96018928294465	"January"	"gi|1381383879|ref|NC_037358.1|"	89.49	590	62	42	83	643	92580	92004	708.387	"Arachis hypogaea chloroplast: complete genome"	"Arachis hypogaea"	"Arachis"	0.914728682170543	"2759"	"35493"	NA	NA	NA	NA
"e3906336-454f-427f-8808-fd9d1d48b952 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2095 ch=384 start_time=2017-01-26T05:29:26Z barcode=barcode08"	"PW5"	"JNB08"	702	0.919058386386175	0.96018928294465	"January"	"gi|1189127730|ref|NC_029778.2|"	92.13	661	52	40	70	696	15014898	15015552	896.745	"Arachis duranensis cultivar V14167 chromosome A07: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.941595441595442	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"da2639e4-08ea-4174-bda2-2d49cc136cbe runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3217 ch=38 start_time=2017-01-26T13:31:23Z barcode=barcode08"	"PW5"	"JNB08"	1039	0.833706578692367	0.874107458820583	"January"	"gi|744792897|gb|KN715696.1|"	80.53	986	192	104	64	977	52752	51799	662.221	"Arachis ipaensis cultivar K30076 chromosome B06 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.948989412897016	"2759"	"35493"	NA	"72025"	"3803"	NA
"a2f21ecd-0088-4216-a9c6-61471668ecec runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=367 ch=392 start_time=2017-01-26T00:27:22Z barcode=barcode08"	"PW5"	"JNB08"	352	0.904479629455067	0.949881276637273	"January"	"gi|744793014|gb|KN715579.1|"	90.29	278	27	13	77	347	1449135	1448864	351.984	"Arachis ipaensis cultivar K30076 chromosome B04 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.789772727272727	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"95ac1170-fae7-4b65-a919-36954dbb093a runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=355 ch=39 start_time=2017-01-26T08:33:27Z barcode=barcode08"	"PW5"	"JNB08"	366	0.917496349527963	0.96018928294465	"January"	"gi|1360814131|gb|KY857889.1|"	94.56	239	13	7	68	303	668	902	363.064	"Physaloptera turgida isolate N171 28S ribosomal RNA gene: partial sequence"	"Physaloptera turgida"	"Physaloptera"	0.653005464480874	"2759"	"6231"	"119089"	NA	NA	NA
"0ad541cd-3677-4041-936e-d60896bc818c runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2899 ch=406 start_time=2017-01-26T07:10:40Z barcode=barcode08"	"PW5"	"JNB08"	655	0.891642760043813	0.936904265551981	"January"	"gi|1189127730|ref|NC_029778.2|"	86.68	413	55	32	72	466	11350735	11350337	429.543	"Arachis duranensis cultivar V14167 chromosome A07: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.630534351145038	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"fcfbda2c-b52b-43ce-8935-a5f6724c30e2 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3899 ch=415 start_time=2017-01-26T05:59:11Z barcode=barcode08"	"PW5"	"JNB08"	1985	0.926285303171033	0.968377223398316	"January"	"gi|1066800376|gb|KX265049.1|"	71.7	1650	467	144	411	1961	9576	7972	327.977	"Dirofilaria repens voucher S8 mitochondrion: complete genome"	"Dirofilaria repens"	"Dirofilaria"	0.831234256926952	"2759"	"6231"	"119089"	"6274"	NA	NA
"6417d37c-0421-4659-b37f-4dd3e4f737c4 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1105 ch=41 start_time=2017-01-26T01:56:09Z barcode=barcode08"	"PW5"	"JNB08"	482	0.864601969703729	0.920567176527572	"January"	"gi|1189127734|ref|NC_029774.2|"	88.72	195	22	14	74	256	64922183	64922375	226.412	"Arachis duranensis cultivar V14167 chromosome A03: Aradu1.1: whole genome shotgun sequence"	"Arachis duranensis"	"Arachis"	0.404564315352697	"2759"	"35493"	NA	"72025"	"3803"	NA
"6c4b451f-d483-4f9b-9f96-c1e31f72e93e runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=6367 ch=41 start_time=2017-01-26T09:27:49Z barcode=barcode08"	"PW5"	"JNB08"	350	0.905333831412266	0.949881276637273	"January"	"gi|744793117|gb|KN715476.1|"	88.8	250	28	21	70	300	367072	367319	287.351	"Arachis ipaensis cultivar K30076 chromosome B01 genomic scaffold: whole genome shotgun sequence"	"Arachis ipaensis"	"Arachis"	0.714285714285714	"2759"	"35493"	NA	"72025"	"3803"	"3817"
"535aa056-f1ef-4ab6-972a-ca1591c07413 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4341 ch=422 start_time=2017-01-26T20:16:49Z barcode=barcode08"	"PW5"	"JNB08"	793	0.941014635141313	0.974881135684904	"January"	"gi|687910425|emb|LK979643.1|"	83.55	152	25	2	581	731	21530	21380	141.466	"Thelazia callipaeda genome assembly T_callipaeda_Ticino :scaffold TCLT_scaffold0000096"	"Thelazia callipaeda"	"Thelazia"	0.191677175283733	"2759"	"6231"	"119089"	"6274"	"103828"	NA
"d6303763-49ce-49ad-aaeb-2fb988c502b3 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=954 ch=422 start_time=2017-01-26T09:59:16Z barcode=barcode08"	"PW5"	"JNB08"	406	0.908961971357613	0.96018928294465	"January"	"gi|1193728299|ref|XM_016092087.2|"	90.33	269	26	16	77	337	3186	2926	339.057	"PREDICTED: Arachis duranensis NADH-ubiquinone oxidoreductase chain 1 (LOC107472573): mRNA"	"Arachis duranensis"	"Arachis"	0.66256157635468	"2759"	"35493"	NA	NA	NA	NA
